region,industry,demand_score,growth_rate,avg_salary
northeast,technology,0.92,0.15,85000
northeast,healthcare,0.88,0.12,75000
northeast,trades,0.75,0.08,65000
northeast,business,0.82,0.10,72000
northeast,creative,0.70,0.09,68000
northeast,education,0.78,0.07,62000
midwest,technology,0.85,0.12,80000
midwest,healthcare,0.90,0.14,72000
midwest,trades,0.88,0.10,68000
midwest,business,0.80,0.09,70000
midwest,creative,0.65,0.07,64000
midwest,education,0.75,0.08,60000
south,technology,0.88,0.16,82000
south,healthcare,0.92,0.15,74000
south,trades,0.85,0.12,66000
south,business,0.84,0.11,71000
south,creative,0.72,0.09,65000
south,education,0.76,0.08,61000
west,technology,0.95,0.18,95000
west,healthcare,0.86,0.13,78000
west,trades,0.78,0.09,70000
west,business,0.85,0.12,76000
west,creative,0.88,0.14,72000
west,education,0.74,0.07,64000
northwest,technology,0.94,0.17,92000
northwest,healthcare,0.85,0.12,76000
northwest,trades,0.82,0.10,72000
northwest,business,0.80,0.09,74000
northwest,creative,0.86,0.13,70000
northwest,education,0.72,0.08,63000
southwest,technology,0.90,0.15,88000
southwest,healthcare,0.84,0.11,73000
southwest,trades,0.86,0.13,69000
southwest,business,0.82,0.10,72000
southwest,creative,0.75,0.09,67000
southwest,education,0.70,0.07,60000
southeast,technology,0.87,0.14,84000
southeast,healthcare,0.89,0.13,75000
southeast,trades,0.84,0.11,67000
southeast,business,0.86,0.12,73000
southeast,creative,0.74,0.08,66000
southeast,education,0.77,0.09,62000
